"|","|__name","Lasana_y_canelones"
"","Refresco Coca-Cola Zero Zero\n12 latas x 330 ml\n10,44 € /pack",""
"","Refresco Coca-Cola Zero Zero\nLata 330 ml\n0,89 € /ud.",""
"","Refresco Coca-Cola Zero Zero\n2 botellas x 2 L\n3,90 € /pack",""
"","Refresco Coca-Cola Zero Zero\nBotella 2 L\n1,99 € /ud.",""
"","Refresco cola Hacendado Zero azúcar\nBotella 2 L\n0,70 € /ud.",""
"","Refresco cola Hacendado Zero azúcar\n6 latas x 330 ml\n1,92 € /pack",""
"","Refresco cola Hacendado Zero azúcar\nLata 330 ml\n0,32 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nBotella 2 L\n0,70 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\n6 latas x 330 ml\n1,92 € /pack",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nLata 330 ml\n0,32 € /ud.",""
"","Refresco cola Pepsi Zero azúcar\nBotella 1,75 L\n1,69 € /ud.",""
"Cocacola_sin_cafeina","Refresco Coca-Cola Zero Zero\n12 latas x 330 ml\n10,44 € /pack",""
"","Refresco Coca-Cola Zero Zero\nLata 330 ml\n0,89 € /ud.",""
"","Refresco Coca-Cola Zero Zero\n2 botellas x 2 L\n3,90 € /pack",""
"","Refresco Coca-Cola Zero Zero\nBotella 2 L\n1,99 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nBotella 2 L\n0,70 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\n6 latas x 330 ml\n1,92 € /pack",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nLata 330 ml\n0,32 € /ud.",""
"Fanta_de_limon","Refresco Fanta limón\nBotella 2 L\n1,79 € /ud.",""
"","Refresco Fanta limón\n9 latas x 330 ml\n6,57 €5,76 € /pack",""
"","Refresco Fanta limón\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco Fanta limón zero azúcares añadidos\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco de limón Hacendado fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de limón Hacendado fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de limón Hacendado fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco de limón Hacendado zero azúcar fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de limón Hacendado zero azúcar fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de limón Hacendado zero azúcar fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco limón Schweppes original\n8 latas x 330 ml\n7,52 €5,12 € /pack",""
"","Refresco limón Schweppes original\nLata 330 ml\n0,95 € /ud.",""
