Categoría,Nombre,Cantidad,Suma de Precio Inicio(€),Suma de Precio Oferta(€),Cantidad del precio,Supermercado,Fecha
Alubias,Alubia blanca Hacendado,Paquete 1 kg,1.85,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia cocida blanca Hacendado,Tarro 295 g (210 g escurrido),0.65,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia cocida blanca Hacendado,Tarro 570 g (400 g escurrido),0.69,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia cocida granja Hacendado,Tarro 570 g (350 g escurrido),1.5,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia cocida pinta Hacendado,Tarro 570 g (400 g escurrido),1.1,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia cocida roja Hacendado,Tarro 570 g (400 g escurrido),1.05,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia granja Hacendado,Paquete 500 g,2.84,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia negra Hacendado,Paquete 1 kg,2.4,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia pinta Hacendado,Paquete 1 kg,2.16,,ud.,Mercadona,2024-03-11 00:00:00
Alubias,Alubia roja Hacendado,Paquete 1 kg,2.55,,ud.,Mercadona,2024-03-11 00:00:00
Otras_verduras_y_hortalizas,Apio verde,Paquete 660 g aprox.,1.26,,ud.,Mercadona,2024-03-11 00:00:00
Otras_frutas,Arándanos,Tarrina 500 g,6.49,6.25,ud.,Mercadona,2024-03-11 00:00:00
Otras_frutas,Arándanos,Vaso 225 g,3.15,2.99,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz basmati aromático Hacendado,Paquete 1 kg,2.54,2.44,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz bomba Hacendado,Paquete 1 kg,4.9,,ud.,Mercadona,2024-03-11 00:00:00
